Total intersections: 9493
Duration: 0
(1.93324, 6.94941)
(2.01801, 7.7879)
(2.30249, 6.69611)
(2.3259, 7.50314)
(2.37807, 3.57381)
(2.51654, 7.56485)
(2.66449, 5.0759)
(2.66986, 7.49625)
(2.89062, 9.39989)
(2.90299, 7.39195)
(2.9255, 5.84421)
(2.93361, 6.26318)
(2.94969, 1.86291)
(3.04247, 6.18851)
(3.11215, 7.4874)
(3.1175, 6.40937)
(3.23337, 1.50751)
(3.24156, 5.05729)
(3.27792, 6.88158)
(3.32454, 4.35714)
(3.3664, 5.91321)
(3.37896, 7.17899)
(3.38553, 11.2605)
(3.40277, 5.94136)
(3.42942, 5.92307)
(3.48122, 7.48002)
(3.51277, 13.9722)
(3.52219, 11.124)
(3.55191, 7.68809)
(3.61457, 13.9843)
(3.6328, 7.92621)
(3.6448, 7.96153)
(3.74016, 8.24222)
(3.74266, 1.97228)
(3.78968, 7.97699)
(3.81532, 6.98376)
(3.81544, 11.3378)
(3.83112, 6.97669)
(3.83547, 8.86529)
(3.84778, 6.98993)
(3.84854, 8.87889)
(3.88178, 8.86081)
(3.88448, 12.6874)
(3.91413, 10.0384)
(3.91993, 3.16219)
(3.92956, 1.58216)
(3.93962, 8.82935)
(3.94813, 8.8544)
(3.95625, 4.87997)
(3.96764, 9.8902)
(4.01552, 9.05278)
(4.03637, 3.87691)
(4.03747, 4.9472)
(4.04447, 11.0379)
(4.07047, 3.12201)
(4.07144, 9.6027)
(4.09996, 8.07744)
(4.13564, 5.02844)
(4.13641, 3.93945)
(4.13888, 9.41589)
(4.18284, 5.40625)
(4.20045, 9.24535)
(4.21045, 9.62657)
(4.21919, 8.02284)
(4.24524, 9.72897)
(4.2522, 11.4164)
(4.25226, 8.00769)
(4.28449, 9.84451)
(4.30567, 8.03207)
(4.30656, 11.2285)
(4.32825, 3.82791)
(4.35258, 6.74338)
(4.35581, 8.81501)
(4.35892, 3.89471)
(4.37338, 9.65456)
(4.37537, 3.04061)
(4.37645, 7.95081)
(4.38182, 10.9684)
(4.39756, 4.89086)
(4.40664, 5.25273)
(4.40727, 6.71891)
(4.416, 10.2316)
(4.44012, 7.46083)
(4.45106, 8.55119)
(4.45409, 4.91897)
(4.47734, 4.15258)
(4.49114, 10.4528)
(4.49828, 6.78936)
(4.50144, 12.0204)
(4.51266, 10.5161)
(4.51463, 9.57252)
(4.55529, 10.3688)
(4.56639, 8.23175)
(4.56746, 8.22878)
(4.57218, 8.23031)
(4.57963, 9.68998)
(4.5914, 8.16246)
(4.60097, 12.0195)
(4.61081, 3.61998)
(4.61144, 9.67332)
(4.62613, 8.06627)
(4.62754, 6.88943)
(4.63688, 9.69981)
(4.64137, 5.01212)
(4.64624, 14.1065)
(4.6475, 8.00708)
(4.6477, 10.9136)
(4.65901, 11.1077)
(4.66766, 9.98037)
(4.68073, 8.20322)
(4.69636, 11.0569)
(4.70791, 11.0909)
(4.70863, 5.04558)
(4.71807, 11.7862)
(4.72291, 9.7894)
(4.72553, 7.79094)
(4.7273, 2.1081)
(4.73506, 3.60346)
(4.74328, 4.89939)
(4.74353, 9.71813)
(4.75448, 7.71074)
(4.76312, 5.0082)
(4.76393, 1.67163)
(4.78239, 9.58381)
(4.78949, 9.85873)
(4.79157, 2.9295)
(4.80407, 3.74803)
(4.80791, 7.75322)
(4.81794, 4.89433)
(4.82114, 4.90131)
(4.82922, 10.8763)
(4.8404, 9.38332)
(4.84457, 4.95233)
(4.84765, 7.45268)
(4.84976, 11.5239)
(4.8529, 11.5177)
(4.85537, 11.5249)
(4.8661, 8.32545)
(4.86866, 5.00479)
(4.87026, 3.79189)
(4.87597, 9.94878)
(4.88341, 11.6075)
(4.89562, 6.91476)
(4.9029, 9.7455)
(4.90372, 8.30499)
(4.91006, 3.73024)
(4.91555, 4.90364)
(4.92422, 5.6811)
(4.94031, 5.16081)
(4.9413, 4.88597)
(4.94487, 11.541)
(4.95851, 7.14562)
(4.96803, 3.77223)
(4.97155, 2.14179)
(4.989, 5.26686)
(5.01155, 6.99871)
(5.01213, 3.56662)
(5.01354, 9.28276)
(5.0163, 9.76498)
(5.02203, 12.0155)
(5.02347, 8.75051)
(5.0269, 6.95619)
(5.03703, 6.92813)
(5.04884, 8.11139)
(5.08315, 10.9622)
(5.09479, 8.09993)
(5.10849, 8.45665)
(5.12244, 8.40844)
(5.12337, 8.40522)
(5.12404, 13.6632)
(5.14185, 10.9421)
(5.14985, 8.41731)
(5.1595, 3.68836)
(5.17578, 10.8745)
(5.18803, 6.36959)
(5.1988, 8.1445)
(5.20054, 8.44044)
(5.2036, 8.12791)
(5.20367, 3.72485)
(5.20507, 8.12282)
(5.20796, 5.29394)
(5.20838, 8.07158)
(5.21398, 8.43807)
(5.21477, 10.7969)
(5.21774, 8.07902)
(5.22079, 8.06849)
(5.22509, 8.1302)
(5.22939, 8.12786)
(5.23153, 5.79503)
(5.23581, 10.3235)
(5.23708, 6.37402)
(5.24843, 6.34256)
(5.25708, 8.13361)
(5.25895, 8.11178)
(5.26975, 10.7855)
(5.27943, 4.65402)
(5.29096, 8.13723)
(5.2945, 6.21496)
(5.29677, 8.14185)
(5.29686, 6.95269)
(5.32627, 9.29904)
(5.33553, 6.02152)
(5.3424, 7.44278)
(5.34888, 9.30022)
(5.35166, 6.05664)
(5.35771, 6.03987)
(5.36208, 2.54901)
(5.37028, 9.30134)
(5.3763, 9.27285)
(5.37805, 10.4716)
(5.38899, 7.48709)
(5.38978, 5.8537)
(5.39094, 7.48036)
(5.39569, 7.48403)
(5.40216, 7.44158)
(5.40251, 9.25913)
(5.41354, 13.3947)
(5.42078, 5.86519)
(5.4272, 5.8474)
(5.42899, 3.51119)
(5.43442, 6.23686)
(5.43835, 8.01421)
(5.44248, 9.20677)
(5.44299, 6.25552)
(5.47166, 6.24269)
(5.4813, 7.16805)
(5.48436, 10.5823)
(5.49231, 7.43978)
(5.49944, 7.10533)
(5.5083, 7.07471)
(5.50866, 6.39854)
(5.52728, 9.92722)
(5.53704, 6.97539)
(5.55109, 3.62262)
(5.55676, 6.20461)
(5.56322, 5.47064)
(5.57592, 9.86109)
(5.58016, 3.64915)
(5.58113, 4.84263)
(5.58678, 8.3724)
(5.59939, 2.71384)
(5.6091, 5.34355)
(5.61186, 10.7151)
(5.62845, 6.65941)
(5.63334, 6.26799)
(5.63611, 7.14846)
(5.63894, 9.95196)
(5.65944, 10.7646)
(5.66127, 10.7665)
(5.6647, 10.7628)
(5.67593, 9.87827)
(5.67997, 8.89571)
(5.69895, 6.41572)
(5.71006, 4.92324)
(5.71768, 4.3534)
(5.72076, 6.34034)
(5.73034, 8.68222)
(5.7317, 10.6904)
(5.737, 6.28421)
(5.74157, 4.97663)
(5.7426, 2.67561)
(5.74469, 4.33487)
(5.7515, 4.94914)
(5.7604, 4.92448)
(5.78427, 6.99876)
(5.79025, 6.10015)
(5.79282, 4.97497)
(5.79518, 4.82813)
(5.81387, 8.72033)
(5.81557, 7.80905)
(5.81585, 6.01166)
(5.81946, 7.28995)
(5.82566, 6.42716)
(5.85194, 8.67047)
(5.85256, 4.26087)
(5.85394, 7.27416)
(5.85701, 8.79289)
(5.86778, 8.64972)
(5.8857, 5.77024)
(5.88978, 7.22852)
(5.89149, 2.63586)
(5.89335, 8.75661)
(5.8934, 8.61616)
(5.90087, 7.25267)
(5.902, 10.0102)
(5.90799, 8.76328)
(5.91001, 6.04656)
(5.91351, 8.66452)
(5.91811, 9.39588)
(5.91853, 4.48648)
(5.9209, 5.64855)
(5.92407, 7.89303)
(5.92588, 4.46613)
(5.92757, 7.24044)
(5.93121, 7.31876)
(5.93753, 7.33252)
(5.94982, 8.66101)
(5.9504, 9.33154)
(5.96487, 9.3323)
(5.96611, 4.35467)
(5.96793, 8.68214)
(5.97168, 8.67839)
(5.97658, 9.92991)
(5.98221, 8.68676)
(5.98228, 7.42997)
(5.98423, 7.34935)
(5.9933, 8.65681)
(5.99583, 7.01875)
(6.0065, 8.70607)
(6.00685, 7.95712)
(6.01915, 8.69872)
(6.03073, 8.29421)
(6.0485, 4.12647)
(6.05311, 10.0437)
(6.06206, 4.08892)
(6.06994, 2.29329)
(6.07973, 4.10504)
(6.08825, 7.66074)
(6.09288, 10.616)
(6.0948, 5.73505)
(6.09695, 9.80022)
(6.09952, 7.84926)
(6.11087, 8.64545)
(6.1192, 7.42723)
(6.12437, 8.31364)
(6.14311, 9.95851)
(6.14389, 8.87094)
(6.14859, 7.79215)
(6.15606, 8.27213)
(6.16708, 7.83241)
(6.17461, 8.88496)
(6.18609, 8.84885)
(6.18611, 8.23277)
(6.19084, 8.85262)
(6.1951, 8.84413)
(6.19602, 7.4257)
(6.2063, 3.40784)
(6.20958, 8.58813)
(6.22228, 9.66519)
(6.2333, 8.76804)
(6.23522, 8.63344)
(6.25181, 8.14673)
(6.25648, 8.02709)
(6.26393, 8.92572)
(6.26866, 5.8861)
(6.27001, 8.69491)
(6.27089, 8.91626)
(6.27098, 3.51024)
(6.27424, 3.50122)
(6.28092, 9.82801)
(6.28277, 10.0946)
(6.28436, 5.68595)
(6.28455, 3.47266)
(6.28903, 8.09798)
(6.29949, 8.78947)
(6.30041, 8.35019)
(6.30396, 12.9667)
(6.30422, 8.62677)
(6.30654, 8.24562)
(6.30821, 8.94593)
(6.3103, 5.69878)
(6.31147, 3.49497)
(6.31249, 7.53878)
(6.31804, 8.77976)
(6.31841, 3.50071)
(6.32841, 2.87052)
(6.32883, 8.04584)
(6.32892, 8.799)
(6.33375, 4.76161)
(6.33701, 5.85552)
(6.34051, 7.05133)
(6.34119, 8.82068)
(6.34428, 8.21831)
(6.34845, 7.55953)
(6.35171, 8.80638)
(6.35306, 8.23743)
(6.35942, 8.25127)
(6.36603, 8.23515)
(6.37056, 8.49463)
